Module,Pmax_W,Vmp_V,Imp_A,Voc_V,Isc_A,STC_Efficiency_pct,Color_Coverage_pct,Efficiency_Loss_pct,Method,Pattern_Type
M-1,200.95,32.22,93.56,39.35,6.61,13.64,26.48,18.00,Dot pattern,Heritage dots
M-2,187.52,32.27,87.16,39.18,6.14,12.73,26.48,23.47,Dot pattern,Modern dots
M-3,213.67,32.27,99.32,39.41,6.96,14.50,18.66,12.64,Dot pattern,Nature dots
M-4,193.83,32.28,90.06,39.24,6.30,13.15,26.48,20.93,Dot pattern,Mixed dots
M-5,245.00,32.20,114.15,39.73,8.05,16.63,0.00,0.00,Baseline,No print
M-5C,176.62,32.30,82.02,39.18,5.73,11.98,26.48,27.99,Colored glass overlay,Uniform glass
M-6,193.47,32.76,88.58,39.64,6.12,13.13,26.48,21.09,Dot pattern,Geometric dots
M-7,28.80,32.34,13.36,36.72,0.92,1.95,100.00,88.27,Full color print,Full print
M-8,107.34,32.83,49.05,38.66,3.37,7.29,61.51,56.15,Large dot pattern,Large dots
M-9,198.80,32.52,91.69,39.49,6.44,13.50,26.48,18.86,Small dot pattern,Small dots
